"Feature"	"Added"	"Type"	"Class"	"Description"
"ccdsGene"	"*"	"EXON"	"exon"	
"cytoBand"		"TOPOLOGY"	"basic"	
"cytoBandIdeo"		"TOPOLOGY"	"basic"	
"cpgIslandExt"		"TOPOLOGY"	"dblhelix"	
"dgv"		"VARIATION"	"triangle hgred"	
"ensGene"	"*"	"GENE"	"transcript"	
"exoniphy"		"EXON"	"exon"	
"gap"		"TOPOLOGY"	"basic"	
"gold"		"ASSEMBLY"	"feature2"	"  Schema for Assembly - Assembly from Fragments"
"geneid"		"GENE"	"transcript"	
"genomicSuperDups"		"TOPOLOGY"	"dblhelix"	
"gwasCatalog"		"VARIATION"	"triangle hgred"	
"hgIkmc"		"GENE"	"transcript"	"Schema for IKMC Genes Mapped - International Knockout Mouse Consortium Genes Mapped to Human Genome"
"hinv70Coding"	"*"	"GENE"	"transcript"	"Haemophilus influenzae"
"hinv70NonCoding"	"*"	"GENE"	"transcript"	
"hinv70PseudoGene"	"*"	"GENE"	"transcript"	
"knownAlt"		"GENE"	"transcript"	
"knownGene"		"GENE"	"transcript"	
"microsat"	"*"	"MICRO"	"triangle hgblue"	
"nestedRepeats"	"*"	"REPEAT"	"dblhelix"	
"nscanGene"		"GENE"	"transcript"	
"omimGene"		"GENE"	"transcript"	
"pgNA12878"	"*"	"VARIATION"	"triangle hgred"	"CEU daughter"
"pgNA12891"	"*"	"VARIATION"	"triangle hgred"	"CEU father"
"pgNA12892 (CEU mother)'"	"*"	"VARIATION"	"triangle hgred"	"CEU mother"
"pgNA19240 (YRI daugher)"	"*"	"VARIATION"	"triangle hgred"	"Personal genome variants"
"pgYoruban3 (YRI 18507)"	"*"	"VARIATION"	"triangle hgred"	"Personal genome variants"
"pgYh1 (YanHuang)"	"*"	"VARIATION"	"triangle hgred"	"Personal genome variants"
"pgSjk (SJK)"	"*"	"VARIATION"	"triangle hgred"	"Personal genome variants"
"refGene"		"GENE"	"transcript"	
"rmsk Repeat Masker"	"*"	"REPEAT"	"dblhelix"	
"sgpGene"		"GENE"	"transcript"	"SGP Gene Predictions Using Mouse/Human Homology"
"simpleRepeat"	"*"	"REPEAT"	"dblhelix"	
"snp131"	"*"	"VARIATION"	"triangle hgred"	
"snp130"	"*"	"VARIATION"	"triangle hgred"	
"tRNAs"		"RNA"	"triangle hgblue"	
"vegaGene"		"GENE"	"transcript"	
"vegaPseudoGene"		"GENE"	"transcript"	
"wgEncodeGencodeAutoV4"		"GENE"	"transcript"	"  Schema for Gencode Genes - ENCODE Gencode Gene Annotations"
"wgEncodeGencodePolyaV4"		"GENE"	"transcript"	"  Schema for Gencode Genes - ENCODE Gencode Gene Annotations"
"wgEncodeGencode2wayConsPseudoV4"		"GENE"	"transcript"	"  Schema for Gencode Genes - ENCODE Gencode Gene Annotations"
"wgRNA (sno/miRNA)"		"RNA"	"triangle hgblue"	
